  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-28 23:15:51,257 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.0582, 'grad_norm': 0.28696081042289734, 'learning_rate': 2.7600000000000003e-06, 'epoch': 0.03}
{'loss': 0.0581, 'grad_norm': 0.547457218170166, 'learning_rate': 2.7800000000000005e-06, 'epoch': 0.03}
{'loss': 0.0566, 'grad_norm': 0.2739529013633728, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.03}
{'loss': 0.0565, 'grad_norm': 0.4664493799209595, 'learning_rate': 2.82e-06, 'epoch': 0.03}
{'loss': 0.0575, 'grad_norm': 0.2214440554380417, 'learning_rate': 2.84e-06, 'epoch': 0.03}
{'loss': 0.057, 'grad_norm': 0.30235153436660767, 'learning_rate': 2.86e-06, 'epoch': 0.03}
{'loss': 0.0622, 'grad_norm': 0.34076619148254395, 'learning_rate': 2.88e-06, 'epoch': 0.03}
{'loss': 0.0558, 'grad_norm': 0.24715165793895721, 'learning_rate': 2.9e-06, 'epoch': 0.03}
{'loss': 0.0574, 'grad_norm': 0.43595728278160095, 'learning_rate': 2.92e-06, 'epoch': 0.03}
{'loss': 0.0539, 'grad_norm': 0.26707300543785095, 'learning_rate': 2.9400000000000002e-06, 'epoch': 0.03}
{'loss': 0.0588, 'grad_norm': 0.5970679521560669, 'learning_rate': 2.96e-06, 'epoch': 0.03}
{'loss': 0.056, 'grad_norm': 0.2862226068973541, 'learning_rate': 2.9800000000000003e-06, 'epoch': 0.03}
{'loss': 0.0538, 'grad_norm': 0.48664382100105286, 'learning_rate': 3e-06, 'epoch': 0.03}
{'loss': 0.0565, 'grad_norm': 0.2564680576324463, 'learning_rate': 3.0200000000000003e-06, 'epoch': 0.03}
{'loss': 0.0472, 'grad_norm': 0.4064332842826843, 'learning_rate': 3.04e-06, 'epoch': 0.03}
{'loss': 0.0557, 'grad_norm': 0.5361024141311646, 'learning_rate': 3.0600000000000003e-06, 'epoch': 0.03}
{'loss': 0.0575, 'grad_norm': 0.46713194251060486, 'learning_rate': 3.08e-06, 'epoch': 0.03}
{'loss': 0.059, 'grad_norm': 0.5169828534126282, 'learning_rate': 3.1000000000000004e-06, 'epoch': 0.03}
{'loss': 0.0563, 'grad_norm': 0.6359030604362488, 'learning_rate': 3.12e-06, 'epoch': 0.03}
{'loss': 0.05, 'grad_norm': 0.41965651512145996, 'learning_rate': 3.1400000000000004e-06, 'epoch': 0.03}
{'loss': 0.0564, 'grad_norm': 0.5248513221740723, 'learning_rate': 3.1600000000000002e-06, 'epoch': 0.03}
{'loss': 0.058, 'grad_norm': 0.2562909424304962, 'learning_rate': 3.1800000000000005e-06, 'epoch': 0.03}
